Detail_ID,Involvement,Level ,Total_Applicants
D1,Full-time,Mid-Senior level,54
D2,Full-time ,Entry level,59 
D3,Full-time ,Entry level,17 
D4,Full-time,,124 
D5,Full-time,Associate,58 
D6,Full-time,Associate,51
D7,Full-time,Associate,31
D8,Full-time,Entry level,9
D9,Full-time,Entry level,173
D10,Full-time,Associate,200
D11,Full-time,,70
D12,Full-time,Associate,7
D13,Full-time,Entry level,200
D14,Full-time ,Entry level,40
D15,Full-time ,,12
D16,Full-time ,Entry level,140
D17,Full-time ,Entry level,171
D18,Full-time,Associate,10
D19,Full-time,,138
D20,Full-time ,Entry level,31
D21,Full-time ,Entry level,67
D22,Full-time ,Associate,200
D23,Full-time,,50
D24,Full-time,Mid-Senior level,1
D25,Full-time,Mid-Senior level,4
D26,Full-time,,27
D27,Full-time,Entry level,6
D28,Full-time,,1
D29,Full-time,Mid-Senior level,5
D30,Full-time,Mid-Senior level,200
D31,Full-time,Mid-Senior level,32
D32,Full-time ,Associate,69
D33,Full-time ,Entry level,159
D34,Full-time ,,84
D35,Full-time ,Associate,33
D36,Full-time,,84
D37,Full-time,,3
D38,Full-time ,Entry level,25
D39,Full-time,,45
D40,Full-time,,200
D41,Full-time , Mid-Senior level,200
D42,Full-time,,7 
D43,Full-time,Full-time,200
D44,Full-time,Mid-Senior level,70
D45,Full-time,,177
D46,Full-time,,184
D47,Full-time,Mid-Senior level,98
D48,Full-time,Entry level,8
D49,Full-time,Entry level,33
D50,Full-time,Mid-Senior level,141
D51,Full-time,Entry level,197
D52,Full-time,,105
D53,Full-time ,Entry level,200
D54,Full-time,Associate,43
D55,Full-time,,41
D56,Full-time,,26
D57,Full-time,Director,85
D58,Full-time,,5
D59,Full-time,Mid-Senior level,197
D60,Full-time,,181
D61,Full-time,Executive,200
D62,Full-time,,176
D63,Full-time,Entry level,85
D64,Full-time,Entry level,78
D65,Full-time,,163
D66,Full-time,,37
D67,Full-time ,Associate,27
D68,Full-time ,Associate,25
D69,Full-time,Associate,76
D70,Full-time,,86
D71,Full-time,Entry level,137
D72,Full-time,,8
D73,Full-time,,25
D74,Full-time,Mid-Senior level,55
D75,Full-time,Executive,15
D76,Full-time ,Entry level,200
D77,Full-time,Mid-Senior level,136
D78,Full-time ,Entry level,73
D79,Intenship,Entry-Level,5
D80,Intenship,Entry-Level,10
D81,Full-time,Entry-Level,15
D82,Internship,Entry-Level,2
D83,Full-time,Entry-Level,20
D84,Full-time,Entry-Level,23
D85,Full-time,,0
D86,Full-time,Mid-Level,33
D87,Internship,Entry-Level,9
D88,Part-Time,Entry-Level,8
D89,Full-time,Entry-Level,43
D90,Part-Time,Entry-Level,2
D91,Internship,Entry-Level,10
D92,Part-Time,Entry-Level,4
D93,Intenship,Mid-Level,4
D94,Contract,Entry-Level,12
D95,Full-time,Associate,15
D96,Full-time,Entry-Level,10
D97,Full-time,Entry-Level,18
D98,Internship,Entry-Level,12
D99,Full-time,Mid-Level,10
D100,Full-time,entry-Level,12
D101,Full-time,Mid-Level,25
D102,Full-time,Entry-Level,11
D103,Full-time,Mid-Level,50
D104,Full-time,Entry-Level,0
D105,Full-time,Entry-Level,28
D106,Full-time,Entry-Level,5
D107,Internship,Mid-Level,25
D108,Full-time,Mid-Level,48
D109,Full-time,Entry-Level,25
D110,Full-time,Entry-Level,98
D111,Part-Time,Entry-Level,0
D112,Full-time,Mid-Level,34
D113,Full-time,,35
D114,Internship,,6
D115,Internship,,0
D116,Full-time,Entry-Level,22
D117,,,1
D118,Internship,Entry-Level,1
D119,Full-time,,4
D120,Internship,Entry-Level,0
D121,Full-time,Entry-Level,29
D122,Internship,,7
D123,Full-time,Entry-Level,27
D124,Part-Time,Entry-Level,33
D125,Full-time,Mid-Senior-Level,159
D126,Full-time,,32
D127,Internship,,14
D128,Part-Time,,65
D129,Part-Time,,0
D130,Internship,Entry-Level,19
D131,Part-Time,Entry-Level,25
D132,Full-time,Entry-Level,201
D133,Full-time,Entry-Level,9
D134,Part-Time,,19
D135,Internship,,201
D136,Full-time,,13
D137,Part-Time,,18
D138,Internship,,19
D139,Internship,,4
D140,Internship,,9
D141,Internship,,1
D142,Internship,,2
D143,Full-time,Entry-Level,33
D144,Full-time,,15
D145,Full-time,,20
D146,Full-time,,16
D147,Part-Time,,8
D148,Internship,Entry-Level,14
D149,Full-time,Entry-Level,155
D150,Full-time,,10
D151,Part-Time,,10
D152,Part-Time,,21
D153,Internship,,22
D154,Full-time,Entry-Level,1
D155,Full-time,Mid-Level,12
D156,Full-time,,7
D157,Full-time,,12
D158,Part-Time,,12
D159,Internship,,15
D160,Full-time,,95
D161,Full-time,Entry level,1
D162,Full-time,Entry level,45
D163,Full-time,,21
D164,Full-time,Associate,19
D165,Full-time,Mid Senior level,170
D166,Full-time,,128
D167,Full-time,Mid Senior level,100
D168,Full-time,Entry level,100
D169,Full-time,Entry level,61
D170,Full-time,,144
D171,Full-time,,63
D172,Full-time,,59
D173,Full-time,Entry level,187
