CompanyID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Clustering,Class
C1,American Express  ,Fincial Services ,10001,1701642,0,Class-1
C2,Accenture in India,Information Technology & Services,10001,1399337,0,Class-1
C3,Colgate-Palmolive,Consumer Goods,10001,1975214,0,Class-1
C4,Advance Auto Parts,Retail,10001,101668,0,Class-1
C5,Novartis India,Pharmaceuticals  ,10001,111727,0,Class-1
C6,_VOIS,Information Technology & Services,10001,84023,0,Class-1
C7,"Neustar, Inc. ",Information Technology & Services,5000,67636,0,Class-1
C8,Microsoft,Computer Software,10001,17774440,1,Class-2
C9,Turing.com,Information Technology & Services,5000,127941,0,Class-1
C10,Stryker,Medical Device,10001,981227,0,Class-1
C11,Optum,Hospital & Health Care ,10001,516149,0,Class-1
C12,Micron Technology ,Semiconductors,10001,444167,0,Class-1
C13,Bank of America ,Banking ,10001,2258970,2,Class-3
C14,dentsu intertiol,Marketing & Advertising ,10001,647910,0,Class-1
C15,ANZ,Banking ,10001,558346,0,Class-1
C16,Giant Eagle GCC,Information Technology & Services,200,2154,0,Class-1
C17,UST,Information Technology & Services,10001,660827,0,Class-1
C18,Shell ,Oil & Energy ,10001,5922917,2,Class-3
C19,Eaton  ,Electrical & Electronic Manufacturing ,10001,1242164,0,Class-1
C20,State Street,Fincial Services ,10001,435909,0,Class-1
C21,Michael Page,Staffing & Recruiting,10000,3007322,2,Class-3
C22,Novo Nordisk,Pharmaceuticals  ,10001,1302821,0,Class-1
C23,"Mettler-Toledo Intertiol, Inc",Electrical & Electronic Manufacturing,10001,108836,0,Class-1
C24,Barclays,Fincial Services ,10001,1251058,0,Class-1
C25,TE Connectivity,Electrical & Electronic Manufacturing,10001,442595,0,Class-1
C26,Gameskraft,Computer Games,1000,21553,0,Class-1
C27,Edu Angels India Private Limited,Consumer Services ,200,32,0,Class-1
C28,Hotstar,Computer Software ,1000,719232,0,Class-1
C29,Moody's Corporation,Fincial Services ,10001,142128,0,Class-1
C30,Chubb,Insurance ,10001,615145,0,Class-1
C31,Electronic Arts (EA),Computer Games,10001,1075143,0,Class-1
C32,Jaguar Land Rover India,Automotive  ,500,102725,0,Class-1
C33,Viasat Inc. ,Telecommunications,5001,90749,0,Class-1
C34,TaskUs ,Outsourcing/Offshoring,10001,139474,0,Class-1
C35,D. E. Shaw India Private Limited,Fincial Services,1000,72352,0,Class-1
C36,Medtronic,Medical Device  ,10001,1417673,0,Class-1
C37,BorgWarner,Automotive  ,10001,266728,0,Class-1
C38,UBS,Fincial Services,10001,1205434,0,Class-1
C39,TechSevin Solution LLP,Information Technology & Services,200,2095,0,Class-1
C40,Chegg India,E-learning,1000,54333,0,Class-1
C41,Dover India,Machinery  ,1000,53466,0,Class-1
C42,AFIV DATA OUTSOURCING,Information Technology & Services,50,14591,0,Class-1
C43,Honeywell,Electrical & Electronic Manufacturing,10001,2221925,2,Class-3
C44,E Connect Solutions Pvt. Ltd,Information Technology & Services,1000,4438,0,Class-1
C45,vi,Fincial Services,1000,163249,0,Class-1
C46,AVEVA ,Computer Software,5000,220860,0,Class-1
C47,WNS,Outsourcing/Offshoring,10001,499613,0,Class-1
C48,Simplify Healthcare,Information Technology & Services,1000,62475,0,Class-1
C49,Taurus Contractors Pvt Ltd ,Oil & Energy,50,28308,0,Class-1
C50,LKQ Corporation,Automotive  ,10001,43182,0,Class-1
C51,Mahindra Group,Executive Office,10001,998435,0,Class-1
C52,Ford Motor Company,Automotive  ,10001,3645053,2,Class-3
C53,Iris Software Inc,Information Technology & Services,5000,230574,0,Class-1
C54,Zepto ,Computer Software,200,94160,0,Class-1
C55,Michelin ,Automotive  ,10001,616381,0,Class-1
C56,Citi,Fincial Services,10001,3813311,2,Class-3
C57,Moody's Corporation ,Fincial Services,10001,142187,0,Class-1
C58,Mastercard,Information Technology & Services,10001,1096069,0,Class-1
C59,Bread Fincial ,Fincial Services,10000,69790,0,Class-1
C60,R1 RCM ,Hospital & Health Care,10001,98792,0,Class-1
C61,BNY Mellon,Fincial Services,10001,444685,0,Class-1
C62,Target,Retail  ,10001,1557165,0,Class-1
C63,Levi Strauss & Co,Apparel & Fashion,10001,601539,0,Class-1
C64,yara Energy ,Oil & Energy,5000,189323,0,Class-1
C65,Clario ,Computer Software,10000,39755,0,Class-1
C66,Juniper Networks,Computer Software,10000,630166,0,Class-1
C67,Charcoal.linkedIn, Consumer Electronics,10,14647,0,Class-1
C68,TransUnion ,Information Technology & Services,10000,277661,0,Class-1
C69,Saveo.in,"Health, Wellness & Fitness",200,44879,0,Class-1
C70,Cie,Telecommunications  ,10000,171020,0,Class-1
