Job_ID,Job_Title,Company_ID,Location,Detail_ID
J1,Alyst/Sr. Alyst-Digital Product Alytics (SQL/Navisualization Tools),C1,"Gurgaon, Harya,India",D1
J10,Associate Data Alyst,C7,"Hyderabad, Telangana,India ",D10
J100,"Alyst, Master Data",C85,"Bengaluru, Kartaka,India",D71
J101,Application Architect: AWS Cloud,C86,"Pune, Maharashtra,India",D72
J102,Software Quality Senior Engineer,C87,"Bengaluru, Kartaka,India",D73
J103,Data Alyst,C28,"Mumbai, Maharashtra,India",D13
J104,Solutions Architect,C88,"Noida, Uttar Pradesh,India",D44
J105,Alyst - Core Alytics - Power BI,C89,"Thane, Maharashtra,India",D43
J106,Google Alytics,C90,"Bengaluru, Kartaka,India ",D74
J107,Data Alyst,C91,"Ahmedabad, Gujarat,India",D75
J108,Data Alyst,C92,"Bengaluru, Kartaka,India",D51
J11,Business Alyst,C8,"Hyderabad, Telangana,India ",D10
J110,Associate Data Alyst,C22,"Bengaluru, Kartaka,India",D40
J112,Data Alyst,C95,"Mumbai, Maharashtra,India",D13
J114,Content Intern,C97,"Gurugram, Harya,India",D79
J115,Content Writer Intern,C98,"Delhi,India",D80
J116,Content Writer,C99,"Gurgaon, Harya,India",D81
J117,SEO Content Writer Intern,C100,"New Delhi, Delhi,India",D82
J118,Digital marketing,C101,"Delhi,India",D83
J119,Digital Marketing Intern,C102,"Navi Mumbai, Maharashtra,India",D84
J12,Growth Alyst,C9,"Pune, Maharashtra,India",D11
J120,Student,C103,"New Delhi, Delhi,India",D85
J121,Content Writer,C104,"Gurugram, Harya,India",D58
J122,Recruitment fresher,C105,"Maharashtra,India",D72
J123,Junior Marketing Mager,C106,"Delhi,India",D86
J124,Social Media Marketing Intern,C107,"Gurugram, Harya,India",D87
J125,Content Writer,C108,"New Delhi, Delhi,India",D88
J126,Content Writer Intern,C109,India,D89
J127,Paid Training + Free Project & Internship,C110,India,D90
J128,Content Writer,C111,"Delhi,India",D91
J129,Human Resources Intern,C107,"Delhi,India",D92
J13,"Alyst, Inventory Optimization",C10,"Gurgaon, Harya,India",D12
J130,Communications Assistant,C112,"South Delhi, Delhi,India",D93
J131,Student,C113,"Gurugram, Harya,India",D94
J132,Social Media Magement Intern,C114,"Mumbai, Maharashtra,India",D95
J133,Operations Internship in Gurgaon at Vplak,C115,"Gurgaon, Harya,India",D96
J134,Digital marketing,C116,"Preet Navihar, Delhi,India",D97
J135,Paid Certificate & Guarantee Internship,C110,India,D98
J136,IT Business Development Executive (Intern/Fresher) - 3 Openings Ahmedabad,C117,Greater Ahmedabad Area,D99
J137,Content Writer,C118,"Noida, Uttar Pradesh,India",D90
J138,Intern,C119,"Delhi,India",D100
J139,Human Resources Intern,C120,"Delhi,India",D101
J14,Alyst-Data Science,C1,"Gurgaon, Harya,India",D13
J140,Business Development,C121,"Delhi,India",D102
J141,Navirtual Assistant,C122,"Delhi,India",D100
J142,Digital Marketing Intern,C123,"Noida, Uttar Pradesh,India",D103
J143,Digital Marketing Internship,C124,"Uppal, Telangana,India",D104
J144,Social Media Expert,C125,"Noida, Uttar Pradesh,India",D84
J145,Fresher,C126,Greater Delhi Area,D104
J146,Internet Content Mager,C127,India,D105
J147,Content Writer,C128,"Delhi,India",D106
J148,Digital marketing intern,C129,India,D107
J149,Recruitment,C130,"Agra, Uttar Pradesh,India",D108
J150,Content Writer,C131,"New Delhi, Delhi,India",D109
J151,Content Writer,C132,"Gurugram, Harya,India",D110
J152,Content Writer,C133,"Kolkata, West Bengal,India",D111
J153,Search Engine Optimization Executive,C134,"Noida, Uttar Pradesh,India",D112
J154,Associate,C135,"Noida, Uttar Pradesh,India",D113
J155,Social Media Marketing Intern,C136,"New Delhi, Delhi,India",D114
J156,Digital Marketing Intern,C137,India,D115
J157,Human Resources Intern,C138,"Delhi,India",D100
J158,Student,C103,"Pune, Maharashtra,India",D116
J159,Employee,C139,"New Delhi, Delhi,India",D111
J160,Fresher,C140,Greater Delhi Area,D117
J161,Human Resources Intern,C129,"Delhi,India",D115
J162,Fundraiser Internship,C141,"Delhi,India",D115
J163,Digital Marketing Intern,C142,India,D118
J164,Fresher,C126,"New Delhi, Delhi,India",D119
J165,Student,C103,"Noida, Uttar Pradesh,India",D116
J166,Students and freshers,C143,"Delhi,India",D117
J167,Volunteer,C144,"Delhi,India",D120
J168,Technical content writer,C145,"Noida, Uttar Pradesh,India",D104
J169,Sales And Marketing Intern,C129,India,D121
J170,Assistant Mager,C146,"Noida, Uttar Pradesh,India",D122
J171,Content Writer,C147,"Noida, Uttar Pradesh,India",D123
J172,Freelance,C148,India,D124
J173,B.com/ Bca Student,C149,"New Delhi, Delhi,India",D125
